year,Q,Portfolio,TWII,0050
initial,initial,1000.0,1000.0,1000.0
2011,Q1,985.9263943579512,962.1064907513877,969.0803777918142
2011,Q2,1180.1882602425958,993.9644515044839,983.2914222204279
2011,Q3,1035.1889494045977,826.7194201983275,865.1590694390105
2011,Q4,1084.3576763286544,1008.2849051115948,990.2583677778088
2012,Q1,1038.8669314108931,1097.8365323476967,1084.437794771117
2012,Q2,889.7937558089214,892.7746812088994,889.3570095403495
2012,Q3,1199.9345512054942,1010.5710311174125,1056.2210127342487
2012,Q4,1050.511240534879,965.0871584771476,947.936695805139
2013,Q1,1193.7986759143262,1011.7743872955812,995.9440654118829
2013,Q2,1272.3521030501454,1014.4710123303594,985.0790785180336
2013,Q3,1189.6585110502965,1011.0175276606642,1010.7032220584584
2013,Q4,1271.4917251758166,1045.5006448908514,1033.7341550200065
2014,Q1,1102.2797732469403,849.4442471083311,888.062584030815
2014,Q2,1306.0452101301178,875.1608219387613,941.5386912847214
2014,Q3,997.7137490043576,785.1291141965899,848.9089141742058
2014,Q4,988.7362205733581,855.869881205932,904.5440789008404
2015,Q1,1601.5336244838004,1042.2414661795679,1027.4581881885692
2015,Q2,1135.3803122224833,988.7038456561952,1001.0768925905068
2015,Q3,991.6722565127947,879.8738461037779,882.1146388842302
2015,Q4,1850.0288809787316,1013.4040665908,975.4887801342659
2016,Q1,1190.824460306098,1183.152765616687,1177.3116501837394
2016,Q2,1047.265167422196,1098.9825022150083,1110.742517689629
2016,Q3,1128.6342250714888,1151.685328099266,1175.7091874943837
2016,Q4,1084.0702887095479,1100.1317492564983,1089.7502243374954
2017,Q1,903.3361860041329,944.6338879498267,933.2663300192455
2017,Q2,947.007865310954,932.7584480228327,957.8606810117759
2017,Q3,905.1781645564524,885.6712984151841,891.5679779520871
2017,Q4,920.1446711541414,907.93414679301,896.4501049396562
2018,Q1,1267.5390567260913,1029.015691023322,1086.7416343814764
2018,Q2,1149.1366405463248,1005.8042225439901,1045.94772484221
2018,Q3,1189.5215364975834,1031.9864242420567,1141.8993332015282
2018,Q4,1085.9445291965483,889.4695059110793,912.9328728291634
2019,Q1,1508.6514154626004,1074.8776417790668,1044.6305104863131
2019,Q2,1136.7733280054595,973.0852639086572,960.4019064410928
2019,Q3,1087.0219633059783,959.2605391877142,978.5848632645682
2019,Q4,1037.690707076229,1055.6760108857075,1069.2549294946741
2020,Q1,950.5909475250079,811.7335546260833,801.8991163501863
2020,Q2,1419.760493063775,1216.734639088584,1179.649159423143
2020,Q3,1237.010413795574,1081.9892031229151,1133.505400413524
2020,Q4,1559.4423287855748,1491.6615053740477,1442.9349597465907
