year,Q,Portfolio,TWII,0050
initial,initial,1000.0,1000.0,1000.0
2011,Q1,1034.9167901348699,962.1064907513877,969.0803777918142
2011,Q2,1175.4087623143014,993.9644515044839,983.2914222204279
2011,Q3,833.1841898160319,826.7194201983275,865.1590694390105
2011,Q4,881.4489490793368,1008.2849051115948,990.2583677778088
2012,Q1,1104.2193069787447,1097.8365323476967,1084.437794771117
2012,Q2,1028.0408789339263,892.7746812088994,889.3570095403495
2012,Q3,1074.4212932741025,1010.5710311174125,1056.2210127342487
2012,Q4,979.6913314848593,965.0871584771476,947.936695805139
2013,Q1,1420.7650362594184,1011.7743872955812,995.9440654118829
2013,Q2,1313.3356508450556,1014.4710123303594,985.0790785180336
2013,Q3,1765.9591126583641,1011.0175276606642,1010.7032220584584
2013,Q4,1415.545009720995,1045.5006448908514,1033.7341550200065
2014,Q1,990.3235519998797,849.4442471083311,888.0625840308148
2014,Q2,1271.0585135644196,875.1608219387613,941.5386912847214
2014,Q3,790.1574921997321,785.1291141965899,848.9089141742057
2014,Q4,892.2829730645657,855.869881205932,904.5440789008404
2015,Q1,1030.8417671613079,1042.2414661795679,1027.4581881885692
2015,Q2,1010.7958071805155,988.7038456561952,1001.0768925905068
2015,Q3,703.6995507060445,879.8738461037779,882.1146388842301
2015,Q4,863.4017144461817,1013.4040665908,975.4887801342659
2016,Q1,1089.1989240992482,1183.152765616687,1177.3116501837394
2016,Q2,1116.1010471649224,1098.9825022150083,1110.7425176896293
2016,Q3,1217.4477984574303,1151.685328099266,1175.7091874943837
2016,Q4,1038.741147578337,1100.1317492564983,1089.7502243374954
2017,Q1,1016.5659670330701,944.6338879498267,933.2663300192454
2017,Q2,1361.6409074456096,932.7584480228327,957.8606810117759
2017,Q3,1085.307207107298,885.6712984151841,891.5679779520871
2017,Q4,1019.0432831687267,907.93414679301,896.4501049396562
2018,Q1,1096.6987379873303,1029.015691023322,1086.7416343814764
2018,Q2,1452.6780243313178,1005.8042225439901,1045.94772484221
2018,Q3,941.6556325582415,1031.9864242420567,1141.8993332015282
2018,Q4,914.2106356770458,889.4695059110793,912.9328728291634
2019,Q1,1146.81662202943,1074.8776417790668,1044.6305104863131
2019,Q2,1056.7301065617637,973.0852639086572,960.4019064410928
2019,Q3,972.789995762236,959.2605391877142,978.5848632645682
2019,Q4,1089.7856253980183,1055.6760108857075,1069.2549294946741
2020,Q1,1305.5922022500267,811.7335546260833,801.8991163501863
2020,Q2,2005.5721359903032,1216.734639088584,1179.649159423143
2020,Q3,1674.7183902898532,1081.9892031229151,1133.505400413524
2020,Q4,2237.5591392235983,1246.8663747614544,1268.004410218502
